Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.154,0.154,0.00,0.154,0.154,0.077,0.00,0.077,0.077,0.154,3250
Client   1,0.00,0.231,0.00,0.00,0.308,0.00,0.154,0.154,0.154,0.00,3250
Client   2,0.00,0.077,0.077,0.154,0.077,0.154,0.154,0.231,0.077,0.00,3250
Client   3,0.154,0.077,0.077,0.00,0.077,0.077,0.154,0.077,0.154,0.154,3250
Client   4,0.077,0.00,0.077,0.154,0.00,0.231,0.077,0.077,0.231,0.077,3250
Client   5,0.077,0.00,0.077,0.154,0.00,0.154,0.077,0.154,0.077,0.231,3250
Client   6,0.154,0.077,0.154,0.00,0.077,0.077,0.00,0.00,0.231,0.231,3250
Client   7,0.231,0.00,0.231,0.154,0.077,0.077,0.154,0.00,0.00,0.077,3250
Client   8,0.154,0.231,0.154,0.00,0.00,0.077,0.154,0.154,0.077,0.00,3250
Client   9,0.077,0.154,0.154,0.077,0.154,0.077,0.077,0.231,0.00,0.00,3250
Client  10,0.154,0.154,0.154,0.077,0.154,0.077,0.00,0.00,0.077,0.154,3250
Client  11,0.00,0.077,0.231,0.077,0.00,0.00,0.154,0.077,0.077,0.308,3250
Client  12,0.154,0.077,0.00,0.231,0.154,0.231,0.00,0.00,0.077,0.077,3250
Client  13,0.077,0.077,0.154,0.154,0.077,0.077,0.077,0.231,0.077,0.00,3250
Client  14,0.077,0.077,0.00,0.154,0.231,0.077,0.154,0.077,0.077,0.077,3250
