Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.00,0.400,0.00,0.00,0.200,0.00,0.00,0.200,0.200,3125
Client   1,0.00,0.200,0.200,0.00,0.200,0.200,0.00,0.00,0.200,0.00,3125
Client   2,0.00,0.00,0.200,0.00,0.200,0.200,0.200,0.200,0.00,0.00,3125
Client   3,0.200,0.200,0.00,0.00,0.00,0.00,0.00,0.200,0.00,0.400,3125
Client   4,0.00,0.00,0.00,0.200,0.200,0.00,0.200,0.200,0.00,0.200,3125
Client   5,0.00,0.200,0.00,0.00,0.200,0.200,0.200,0.00,0.00,0.200,3125
Client   6,0.00,0.200,0.00,0.600,0.200,0.00,0.00,0.00,0.00,0.00,3125
Client   7,0.200,0.00,0.00,0.00,0.00,0.200,0.200,0.00,0.200,0.200,3125
Client   8,0.00,0.200,0.00,0.200,0.00,0.00,0.200,0.400,0.00,0.00,3125
Client   9,0.200,0.200,0.00,0.00,0.200,0.00,0.00,0.400,0.00,0.00,3125
Client  10,0.00,0.00,0.00,0.200,0.00,0.00,0.200,0.200,0.200,0.200,3125
Client  11,0.200,0.200,0.200,0.00,0.00,0.00,0.00,0.00,0.400,0.00,3125
Client  12,0.00,0.00,0.200,0.200,0.00,0.400,0.200,0.00,0.00,0.00,3125
Client  13,0.200,0.00,0.200,0.200,0.200,0.200,0.00,0.00,0.00,0.00,3125
Client  14,0.400,0.00,0.200,0.00,0.00,0.00,0.00,0.00,0.200,0.200,3125
