Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.096,0.016,0.264,0.00,0.011,0.020,0.592,0.00,0.00,0.00,7042
Client   1,0.120,0.050,0.035,0.000,0.018,0.001,0.027,0.384,0.365,0.00,4258
Client   2,0.069,0.018,0.001,0.027,0.153,0.385,0.003,0.075,0.270,0.00,4404
Client   3,0.663,0.077,0.015,0.245,0.00,0.00,0.00,0.00,0.00,0.00,3697
Client   4,0.003,0.00,0.071,0.401,0.018,0.006,0.067,0.061,0.373,0.00,3503
Client   5,0.006,0.476,0.005,0.073,0.011,0.402,0.002,0.022,0.004,0.00,2995
Client   6,0.019,0.019,0.137,0.573,0.252,0.00,0.00,0.00,0.00,0.00,3641
Client   7,0.107,0.091,0.019,0.00,0.010,0.190,0.000,0.494,0.056,0.033,2050
Client   8,0.025,0.021,0.010,0.002,0.001,0.199,0.007,0.00,0.039,0.696,3543
Client   9,0.202,0.156,0.004,0.032,0.00,0.048,0.042,0.398,0.118,0.00,1329
Client  10,0.00,0.007,0.086,0.001,0.567,0.00,0.179,0.001,0.154,0.006,1712
Client  11,0.000,0.073,0.758,0.008,0.088,0.00,0.001,0.032,0.021,0.019,2543
Client  12,0.544,0.125,0.022,0.024,0.140,0.003,0.020,0.083,0.005,0.034,592
Client  13,0.00,0.384,0.00,0.032,0.006,0.010,0.008,0.073,0.039,0.448,5325
Client  14,0.018,0.012,0.001,0.002,0.542,0.214,0.004,0.206,0.00,0.00,3366
