Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.112,0.102,0.096,0.105,0.094,0.100,0.105,0.093,0.093,0.099,3125
Client   1,0.102,0.101,0.098,0.102,0.104,0.105,0.098,0.102,0.091,0.096,3125
Client   2,0.094,0.103,0.103,0.090,0.100,0.096,0.102,0.103,0.102,0.106,3125
Client   3,0.100,0.106,0.108,0.104,0.097,0.092,0.096,0.100,0.100,0.097,3125
Client   4,0.094,0.102,0.094,0.109,0.100,0.109,0.091,0.097,0.107,0.097,3125
Client   5,0.087,0.104,0.096,0.103,0.106,0.099,0.107,0.098,0.106,0.094,3125
Client   6,0.099,0.089,0.103,0.096,0.099,0.100,0.106,0.101,0.102,0.106,3125
Client   7,0.100,0.098,0.100,0.094,0.102,0.098,0.100,0.111,0.100,0.098,3125
Client   8,0.103,0.102,0.107,0.091,0.104,0.096,0.106,0.098,0.095,0.098,3125
Client   9,0.098,0.104,0.096,0.102,0.098,0.104,0.095,0.100,0.104,0.099,3125
Client  10,0.111,0.095,0.097,0.108,0.099,0.091,0.097,0.104,0.101,0.097,3125
Client  11,0.100,0.097,0.097,0.106,0.097,0.110,0.092,0.093,0.101,0.107,3125
Client  12,0.096,0.106,0.098,0.089,0.100,0.110,0.104,0.096,0.095,0.105,3125
Client  13,0.105,0.094,0.100,0.092,0.097,0.107,0.100,0.105,0.099,0.100,3125
Client  14,0.106,0.092,0.098,0.102,0.105,0.089,0.101,0.100,0.109,0.097,3125
Client  15,0.096,0.104,0.108,0.106,0.097,0.095,0.099,0.098,0.095,0.103,3125
