Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.090,0.000,0.075,0.070,0.104,0.058,0.066,0.310,0.227,0.00,3284
Client   1,0.076,0.012,0.120,0.035,0.080,0.113,0.263,0.301,0.00,0.00,3160
Client   2,0.059,0.129,0.022,0.001,0.184,0.058,0.056,0.157,0.334,0.00,4279
Client   3,0.138,0.097,0.033,0.088,0.086,0.074,0.074,0.129,0.075,0.205,2953
Client   4,0.464,0.161,0.103,0.071,0.024,0.029,0.052,0.096,0.00,0.00,3269
Client   5,0.017,0.000,0.239,0.029,0.045,0.173,0.240,0.256,0.00,0.00,3256
Client   6,0.058,0.058,0.028,0.129,0.046,0.195,0.152,0.039,0.053,0.242,3393
Client   7,0.108,0.108,0.258,0.038,0.091,0.131,0.131,0.016,0.119,0.00,3204
Client   8,0.134,0.117,0.172,0.033,0.007,0.003,0.086,0.061,0.007,0.380,4241
Client   9,0.038,0.153,0.054,0.288,0.255,0.034,0.005,0.043,0.129,0.00,3497
Client  10,0.023,0.062,0.010,0.131,0.051,0.013,0.084,0.020,0.205,0.400,2503
Client  11,0.049,0.173,0.112,0.185,0.143,0.011,0.065,0.008,0.104,0.150,3313
Client  12,0.036,0.194,0.176,0.277,0.062,0.037,0.004,0.011,0.181,0.021,1848
Client  13,0.072,0.043,0.051,0.059,0.198,0.186,0.075,0.036,0.138,0.142,1728
Client  14,0.038,0.101,0.052,0.254,0.007,0.191,0.226,0.026,0.045,0.061,2933
Client  15,0.148,0.180,0.084,0.018,0.219,0.350,0.00,0.00,0.00,0.000,3139
